문장,제주도:우리 저번에 제주도 여행 언제 가기로 했었지?,제주도:제주도 숙소는 게스트하우스로 예약했잖아,제주도:협재 해변 사진 진짜 예쁘게 나왔더라,제주도:다음 달에 진짜 제주도 가는 거 맞지?,저녁약속:오늘 저녁에 뭐 먹을까?,저녁약속:이따 만나서 파스타 먹으러 갈까,저녁약속:저녁 약속 몇 시로 잡을까,저녁약속:새로 생긴 이자카야 가보고 싶어,다툼:아까 그렇게 말해서 좀 서운했어,다툼:네가 연락 늦게 해서 걱정했잖아,다툼:미안해 내가 예민하게 굴었나 봐,다툼:우리 이런 걸로 자주 싸우는 것 같아,기념일:이번 기념일에 뭐 받고 싶어?,기념일:생일 선물로 뭐 사줄지 고민 중이야,기념일:우리 사귄 지 벌써 1년 됐네,기념일:기념일에 특별한 곳 예약해놨어,일상안부:오늘 하루 어땠어?,일상안부:출근길에 비 많이 오더라,일상안부:점심은 먹었어?,일상안부:오늘 회사에서 좀 피곤한 일 있었어
다툼:미안해 내가 예민하게 굴었나 봐,0.8417,0.8721,0.8467,0.8491,0.8555,0.8746,0.8768,0.8521,0.9190,0.9065,0.0000,0.8624,0.8395,0.8747,0.8749,0.8409,0.8872,0.8592,0.8649,0.8799
다툼:우리 이런 걸로 자주 싸우는 것 같아,0.8321,0.8487,0.8506,0.8420,0.8356,0.8720,0.8600,0.8453,0.8942,0.8687,0.8624,0.0000,0.8260,0.8653,0.8635,0.8379,0.8457,0.8566,0.8331,0.8690
기념일:이번 기념일에 뭐 받고 싶어?,0.8712,0.8496,0.8325,0.8629,0.9107,0.8744,0.8843,0.8634,0.8449,0.8589,0.8395,0.8260,0.0000,0.9249,0.8613,0.9004,0.9073,0.8303,0.8835,0.8611
기념일:생일 선물로 뭐 사줄지 고민 중이야,0.8670,0.8754,0.8681,0.8705,0.9073,0.8891,0.8988,0.8884,0.8810,0.8864,0.8747,0.8653,0.9249,0.0000,0.8940,0.8977,0.9043,0.8737,0.8770,0.8828
기념일:우리 사귄 지 벌써 1년 됐네,0.8699,0.8664,0.8744,0.8653,0.8604,0.8896,0.8848,0.8776,0.8850,0.8838,0.8749,0.8635,0.8613,0.8940,0.0000,0.8820,0.8784,0.8642,0.8611,0.8733
기념일:기념일에 특별한 곳 예약해놨어,0.8576,0.8850,0.8715,0.8680,0.8462,0.8662,0.8651,0.8830,0.8603,0.8800,0.8409,0.8379,0.9004,0.8977,0.8820,0.0000,0.8480,0.8529,0.8415,0.8638
일상안부:오늘 하루 어땠어?,0.8789,0.8615,0.8429,0.8620,0.9247,0.8928,0.9074,0.8572,0.8876,0.8904,0.8872,0.8457,0.9073,0.9043,0.8784,0.8480,0.0000,0.8678,0.9275,0.9017
일상안부:출근길에 비 많이 오더라,0.8393,0.8581,0.8725,0.8407,0.8348,0.8600,0.8546,0.8583,0.8689,0.8763,0.8592,0.8566,0.8303,0.8737,0.8642,0.8529,0.8678,0.0000,0.8503,0.9017
일상안부:점심은 먹었어?,0.8725,0.8582,0.8275,0.8569,0.9412,0.8945,0.9207,0.8452,0.8662,0.8855,0.8649,0.8331,0.8835,0.8770,0.8611,0.8415,0.9275,0.8503,0.0000,0.8686
일상안부:오늘 회사에서 좀 피곤한 일 있었어,0.8445,0.8602,0.8394,0.8398,0.8637,0.8680,0.8529,0.8657,0.9077,0.8946,0.8799,0.8690,0.8611,0.8828,0.8733,0.8638,0.9017,0.9017,0.8686,0.0000
